"date";"txHash";"txNoteUser";"fromAddress";"fromTagsUser";"fromNoteUser";"fromTags";"toAddress";"toTagsUser";"toNoteUser";"toTags";"tokenName";"tokenAddress";"tokenSymbol";"value";"usdPrice"
"2022-11-06 08:11:59";"0x28691b65b353ffe2ff990f3d5fcba698828ebca02bc427aa96929f65a0c78f85";"";"0x8f327a1f52db59e4b78349a477a22f99e37ba689";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"Ethereum";"0x0000000000000000000000000000000000000000";"ETH";"6,7322978184872";"1622,41"
"2022-11-05 10:15:47";"0x0c0c124e3128ed7f0e3787cb45456015ec4d89f638afe32e943e15781c760980";"";"0x02f71fb59bde0a92fa190bd5ff3037834c216659";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"1000,000000";"0,99999447330624"
"2022-11-05 06:58:47";"0xcbe5381a6784d9d79007bddfe20d0ae878ecf9baef4b0c185c562a2059948f18";"";"0x8f327a1f52db59e4b78349a477a22f99e37ba689";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"1391,770000";"1,0001315629906"
"2022-11-05 06:55:59";"0xcfd622631f302717e214ee382618722dd5af1b6081408912e2aea0a0d07fd828";"";"0xd6e5f4eb7c8636ca666f1c4fe8bc591d3dbcce7e";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"1131,970000";"1,0001190014744"
"2022-11-05 06:31:59";"0x0d39033d525f64de0b387ede5fd002fce379a6e0180532ef54285274591252f8";"";"0x2bd9e5a258a21ed877e2f63c89454296669856d7";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"1546,410000";"1,0001321580726"
"2022-11-04 15:04:47";"0x2b68189e37426630d9eef8932d7cc4a0c96c78b522a87cd10b704b6ea9cd6148";"";"0x23b697e6adc725924805e7da202085176ac5c05a";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"9999,209810";"1,0002058986772"
"2022-11-03 19:27:35";"0x901c2b036a35fa729b3e06499ab6385a8b6833898c3f83463cb7853362a84f39";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"0x5523ef85ee17417b09ce9a8eb2961d8f4570fd45";"";"";"";"Tether USD";"0xdac17f958d2ee523a2206206994597c13d831ec7";"USDT";"337274,160360";"0,99998407161548"
"2022-11-03 19:24:59";"0x6ed6dfe222533cada1ddb499c80861d6de91963936cf9c525a5281cafa70eefe";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"0x5523ef85ee17417b09ce9a8eb2961d8f4570fd45";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"100036,264829";"1,000133899137"
"2022-11-03 14:49:47";"0x670f9af463e976055229aae37912c9c6476f66bbca8b8e73b73b388c8b9e2625";"";"0xee089d9eda6b8caf6c48e1235f69e610b23cc972";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"1000,000000";"1,0001823736774"
"2022-11-03 03:33:35";"0x6da4c5c5a4fcc19ad635567247e49d3aa0970d86c0d18a290a94d80b92793152";"";"0xc7244e994b8168aa13efe0588aa8fa7cec7c2a13";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"710,000000";"1,0002189673795"
